,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
9469,2422049107,20140508T000000,350000.0,4.0,1.75,2250,13515,1.0,0,0,4,8,2150,100,1940,0,98030,47.3789,-122.229,2150,12508
15048,6151800225,20150409T000000,475000.0,3.0,1.75,1850,26445,1.0,0,0,4,7,1850,0,1962,1977,98010,47.3412,-122.051,2110,23280
3728,2919701105,20141209T000000,422000.0,2.0,1.75,1320,2609,1.0,0,0,4,7,920,400,1938,0,98117,47.6878,-122.366,1200,4220
2552,4137060270,20150105T000000,313000.0,4.0,2.5,2460,10320,2.0,0,0,3,8,2460,0,1993,0,98092,47.2599,-122.215,2210,9024
3275,818500490,20141009T000000,153503.0,2.0,2.5,1240,3649,2.0,0,0,3,7,1240,0,1986,0,98003,47.3241,-122.322,1400,3721
10842,1526059051,20140828T000000,995000.0,2.0,2.0,1600,64468,1.0,0,0,3,7,1600,0,1950,0,98072,47.7344,-122.143,1950,64468
13969,3905081520,20150325T000000,625000.0,4.0,2.75,2390,6979,2.0,0,0,3,8,2390,0,1993,0,98029,47.5703,-121.996,2090,6321
2728,3760500435,20150114T000000,570000.0,3.0,2.75,2730,11936,2.0,0,2,3,8,1530,1200,1978,0,98034,47.6987,-122.231,2810,12333
1803,3303980520,20150423T000000,1135000.0,4.0,3.25,4130,11444,2.0,0,0,3,11,4130,0,2001,0,98059,47.5208,-122.15,3720,11431
12542,1338600175,20140507T000000,940000.0,4.0,2.25,1890,5940,1.0,0,1,3,9,1470,420,1963,0,98112,47.6316,-122.303,2430,5940
10113,2287400030,20140626T000000,289659.0,4.0,2.25,2260,7200,2.0,0,0,4,7,2260,0,1984,0,98031,47.4121,-122.183,1720,7200
8284,4365700450,20141106T000000,193000.0,2.0,1.0,950,9000,1.0,0,0,3,6,950,0,1924,0,98106,47.5219,-122.361,1000,8280
3613,809000945,20150106T000000,563000.0,6.0,1.0,1730,2760,1.5,0,0,3,7,1250,480,1918,0,98109,47.6342,-122.353,1630,3200
19512,2023049361,20150323T000000,246500.0,2.0,1.0,940,6000,1.0,0,0,2,7,940,0,1954,0,98148,47.4631,-122.329,1890,8547
9926,1026049036,20140910T000000,275000.0,2.0,1.0,1140,10404,1.0,0,0,3,5,1140,0,1935,0,98155,47.7497,-122.286,2200,11550
1303,3380900125,20140527T000000,360000.0,3.0,1.0,1570,9467,1.0,0,0,3,7,1570,0,1954,0,98177,47.7683,-122.359,1570,9100
20958,4181200540,20140728T000000,269800.0,4.0,2.75,1830,3420,2.0,0,0,3,8,1830,0,2012,0,98198,47.36600000000001,-122.308,1813,3420
20627,2895800390,20140807T000000,359800.0,5.0,2.5,2170,2752,2.0,0,0,3,8,2170,0,2014,0,98106,47.5165,-122.346,1800,2752
716,3670500710,20140715T000000,405500.0,3.0,1.5,1010,8108,1.0,0,0,5,7,1010,0,1954,0,98155,47.7359,-122.309,1300,8108
10853,6190500340,20140509T000000,580000.0,4.0,2.5,2840,6268,2.0,0,0,3,9,2840,0,1998,0,98028,47.7386,-122.235,2790,6526
15697,3438501150,20140728T000000,300000.0,3.0,2.0,720,7598,1.0,0,0,5,6,720,0,1947,0,98106,47.5483,-122.36,1080,7209
12640,4038400040,20141124T000000,520000.0,3.0,2.0,1670,8800,1.0,0,0,4,7,1150,520,1961,0,98008,47.6096,-122.132,2020,8250
2917,49500090,20141205T000000,372000.0,4.0,1.5,1780,7914,1.5,0,0,4,7,1780,0,1962,0,98059,47.5142,-122.163,1350,8069
3241,2968801366,20150224T000000,350000.0,3.0,2.75,1650,5700,2.0,0,0,4,7,1650,0,1988,0,98166,47.4563,-122.348,1320,7620
9618,5035300085,20140602T000000,730000.0,4.0,2.0,2360,6000,1.0,0,0,5,7,1260,1100,1939,0,98199,47.6534,-122.41,1720,6000
10461,6056100295,20140530T000000,330000.0,2.0,2.5,1240,1546,2.0,0,0,3,7,1240,0,2007,0,98108,47.5634,-122.298,1520,2468
19922,2770602493,20141120T000000,455000.0,2.0,2.0,1350,1209,3.0,0,0,3,8,1350,0,2013,0,98199,47.649,-122.383,1310,982
3174,5561301280,20140505T000000,410000.0,3.0,2.25,1800,36704,1.0,0,0,4,8,1360,440,1978,0,98027,47.4688,-122.013,2730,36404
11277,7695370160,20140811T000000,511000.0,5.0,2.5,3361,6983,2.0,0,0,3,10,3361,0,2006,0,98092,47.3427,-122.169,3112,6920
15251,3798000130,20140725T000000,468000.0,4.0,1.75,2250,8580,1.0,0,0,4,7,1330,920,1958,0,98011,47.7633,-122.199,2250,10032
2597,2972300140,20140821T000000,352500.0,3.0,2.0,1920,33630,1.0,0,0,3,8,1920,0,1992,0,98056,47.4983,-122.167,2080,7505
8186,5229300085,20150411T000000,600000.0,3.0,2.25,2680,98445,1.0,0,0,5,8,2680,0,1962,0,98059,47.5015,-122.108,2340,98445
12201,4310702440,20141014T000000,355000.0,3.0,2.0,1480,2502,2.0,0,0,3,7,1480,0,1991,0,98103,47.6969,-122.338,1850,5000
783,5693500270,20150121T000000,715000.0,4.0,1.0,2000,4800,2.0,0,0,4,7,2000,0,1911,0,98103,47.6583,-122.351,1260,1452
16941,2626119028,20150323T000000,160000.0,3.0,1.0,1140,3240,1.5,0,0,4,6,1140,0,1910,0,98014,47.7093,-121.364,1140,4700
5506,4046400440,20140806T000000,532500.0,4.0,2.5,2490,8750,2.0,0,0,3,8,2040,450,1976,0,98008,47.5931,-122.116,2120,10240
833,4037200075,20140911T000000,662500.0,6.0,2.25,2450,25600,1.0,0,2,3,7,1340,1110,1957,0,98008,47.6061,-122.117,1850,10230
17144,1053000010,20150421T000000,465000.0,3.0,1.5,1280,4720,1.0,0,0,4,7,850,430,1941,0,98126,47.5509,-122.377,1280,4720
4990,6071900130,20150415T000000,550000.0,3.0,1.75,1670,10798,1.0,0,0,4,8,1670,0,1962,0,98006,47.549,-122.17,2290,10798
9485,2976800115,20141105T000000,349170.0,4.0,1.75,1670,8856,1.0,0,2,3,7,1070,600,1955,0,98178,47.5056,-122.251,1660,8088
1052,1762600260,20140522T000000,1050000.0,4.0,3.25,3440,35021,2.0,0,0,3,10,3440,0,1983,0,98033,47.6476,-122.184,3440,35021
19265,1781500180,20150327T000000,390000.0,2.0,1.0,1080,4725,1.5,0,0,3,7,1080,0,1944,0,98126,47.5275,-122.381,1520,4961
20411,7202280580,20150106T000000,653000.0,4.0,2.5,3120,5137,2.0,0,0,3,7,3120,0,2003,0,98053,47.6842,-122.04,2755,5137
1091,7202330370,20150210T000000,448000.0,3.0,2.25,1530,3056,2.0,0,0,3,7,1530,0,2003,0,98053,47.6817,-122.035,1560,3064
1164,1247600105,20141020T000000,5110800.0,5.0,5.25,8010,45517,2.0,1,4,3,12,5990,2020,1999,0,98033,47.6767,-122.211,3430,26788
7950,6300500477,20140826T000000,401500.0,3.0,2.5,1509,1114,3.0,0,0,3,8,1509,0,2014,0,98133,47.7048,-122.34,1509,2431
8663,6918730230,20150401T000000,485000.0,4.0,2.25,1810,7068,2.0,0,0,5,7,1810,0,1976,0,98034,47.7319,-122.204,1460,7274
3228,3023049236,20140916T000000,350000.0,3.0,2.75,3070,5280,2.0,0,1,3,7,2360,710,1950,1986,98166,47.4486,-122.353,2570,18983
13677,2291401115,20141125T000000,349950.0,1.0,1.0,1230,9300,1.5,0,0,4,6,1230,0,1918,0,98133,47.7055,-122.348,1190,6820
21598,8956200760,20141013T000000,541800.0,4.0,2.5,3118,7866,2.0,0,2,3,9,3118,0,2014,0,98001,47.2931,-122.264,2673,6500
16205,8617000020,20141231T000000,485000.0,4.0,2.5,2100,8886,2.0,0,0,4,7,2100,0,1964,0,98007,47.5947,-122.134,1840,9058
15042,8924100305,20150325T000000,855000.0,4.0,3.0,2590,6250,2.0,0,2,3,9,2240,350,1964,0,98115,47.6774,-122.267,2260,6780
17339,7852000010,20140527T000000,455600.0,3.0,2.5,2420,8252,2.0,0,0,3,7,2420,0,1998,0,98065,47.5382,-121.871,2420,5818
